Radiation,Cost
684.23,4.217389
823.05,3.506061
898,3.213434
897.1,3.216658
825.08,3.497435
685.7,4.208347
493.15,5.851493
271.08,10.64506
64.7,44.60068
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
60.1,48.01437
263.25,10.96169
486.75,5.928431
680.55,4.240194
822.92,3.506615
898.58,3.21136
896.27,3.219637
823.62,3.503635
685.65,4.208654
494.9,5.830802
273.5,10.55087
67.45,42.78227
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
76.73,37.60803
299.2,9.644598
526.4,5.481884
718.98,4.013552
857.33,3.365873
913.9,3.157527
917.45,3.145309
849.55,3.396697
716.33,4.0284
528.62,5.458862
305.25,9.453444
82.8,34.85101
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
86.23,33.46473
312.17,9.243886
538.92,5.354531
730.45,3.950529
867.25,3.327373
932.25,3.095376
934.27,3.088683
865.05,3.335835
727.77,3.965077
537.45,5.369176
311.42,9.266148
86.2,33.47638
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
87.25,33.07351
312.83,9.224383
541.27,5.331284
734.27,3.929976
872.88,3.305911
944.85,3.054097
944.27,3.055973
871.65,3.310576
734.6,3.928211
543.48,5.309604
317.02,9.102466
90.83,31.76994
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
85.4,33.78997
301.3,9.577377
523.52,5.512041
712.3,4.051192
847.98,3.402986
927.42,3.111496
925.67,3.117379
851.77,3.387844
712.12,4.052216
519.27,5.557155
293.45,9.833579
79.17,36.44896
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
81.85,35.25551
295.2,9.775284
519.27,5.557155
713.15,4.046363
847.65,3.404311
934.02,3.08951
930.3,3.101864
853.77,3.379908
712.83,4.04818
518.08,5.569919
291.7,9.892574
78.98,36.53664
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
89.75,32.15224
304.88,9.464917
525.9,5.487096
714.88,4.036571
849.83,3.395578
934.5,3.087923
933.08,3.092622
859.4,3.357766
720.85,4.003141
529.45,5.450305
304.9,9.464296
87.1,33.13047
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
105.65,27.31343
329,8.771015
552.45,5.223394
740.52,3.896807
873.7,3.302809
919.4,3.138638
916.1,3.149944
843.4,3.421465
705.55,4.089949
515.33,5.599643
293.7,9.825209
83.52,34.55057
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
101.77,28.35476
319.9,9.020518
542.4,5.320177
730.92,3.947989
864.85,3.336606
938.92,3.073386
935.4,3.084952
862.2,3.346861
723.4,3.989029
531.3,5.431327
306.3,9.421038
88.98,32.43048
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
108.05,26.70675
327.38,8.814417
551.67,5.230779
740.23,3.898334
873.9,3.302053
946.58,3.048516
943.83,3.057398
869.75,3.317808
731.9,3.942702
541.83,5.325773
318.25,9.067286
99.05,29.13341
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
129.6,22.26592
355.25,8.12291
578.92,4.984564
765.92,3.767579
898.17,3.212826
965.25,2.989551
960.9,3.003084
886.45,3.255304
748.52,3.855159
556.92,5.181469
330.65,8.727246
105.3,27.40421
0,0
0,0
0,0
0,0
